serial,ad_name,ad_set_name,amount_spent,max_roas,scroll_stop_30,hook_hold_rate_40,hold_rate_20,frequency,reach,results,result_rate,cpr,cpc,ctr,3_sec_video,25_play,50_play,75_play,100_play
24,ad_id_607,ad_set_002,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
25,ad_id_1142,ad_set_034,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
26,ad_id_1627,ad_set_038,1.33,0.0,37.96,24.39,9.26,1.3,83,0,0.0,0.0,0.0,0.0,41,17,6,3,1
27,ad_id_1320,ad_set_065,145.02,1.49,53.18,49.73,26.45,1.45,2635,5,13.09,29.0,1.13,3.35,2031,1181,851,669,415
28,ad_id_939,ad_set_022,1.29,0.0,40.21,48.72,19.59,1.24,78,0,0.0,0.0,0.43,3.09,39,25,16,14,5
29,ad_id_1120,ad_set_013,50.85,0.0,50.47,46.36,23.4,1.19,984,0,0.0,0.0,1.24,3.5,591,336,211,176,100
30,ad_id_868,ad_set_099,0.35,0.0,16.67,50.0,8.33,1.09,11,0,0.0,0.0,0.35,8.33,2,1,1,1,1
31,ad_id_1713,ad_set_050,76.63,0.61,48.59,43.66,21.21,1.25,1787,1,4.47,76.63,0.89,3.84,1088,485,302,141,96
32,ad_id_599,ad_set_111,0.36,0.0,33.33,57.14,19.05,1.0,21,0,0.0,0.0,0.0,0.0,7,4,2,1,1
33,ad_id_34,ad_set_051,53.97,0.81,50.69,24.18,12.26,1.25,1159,1,6.89,53.97,1.23,3.03,736,234,116,78,53
34,ad_id_975,ad_set_080,0.85,0.0,42.86,66.67,28.57,1.0,14,0,0.0,0.0,0.43,14.29,6,4,2,2,2
35,ad_id_1778,ad_set_008,72.07,1.3,45.12,29.24,13.19,1.2,1617,2,10.27,36.04,0.91,4.06,879,374,190,141,108
36,ad_id_1551,ad_set_048,54.25,0.0,50.08,38.7,19.38,1.24,1039,0,0.0,0.0,0.7,5.97,646,281,147,90,61
37,ad_id_170,ad_set_067,532.76,1.88,32.64,41.06,13.4,1.26,10040,21,16.56,25.37,1.01,4.17,4140,1080,684,509,383
38,ad_id_141,ad_set_037,372.34,1.42,33.99,41.33,14.05,1.16,8046,12,12.86,31.03,1.0,4.0,3172,843,497,348,256
39,ad_id_1541,ad_set_095,419.32,1.44,34.07,42.98,14.64,1.15,9183,13,12.27,32.26,0.88,4.48,3611,1063,652,463,353
40,ad_id_756,ad_set_023,86.29,1.52,25.74,47.28,12.17,1.43,1704,3,12.34,28.76,1.14,3.13,626,343,225,166,103
41,ad_id_317,ad_set_093,465.14,2.09,34.85,44.12,15.38,1.23,8999,21,19.03,22.15,0.95,4.45,3846,1151,707,505,376
42,ad_id_1709,ad_set_036,0.8,0.0,55.17,0.0,0.0,1.04,28,0,0.0,0.0,0.0,0.0,16,5,0,0,0
43,ad_id_800,ad_set_003,11.7,0.0,45.22,55.07,24.9,1.25,401,0,0.0,0.0,0.69,3.39,227,139,72,45,28
44,ad_id_1132,ad_set_013,203.61,1.13,51.29,41.7,21.39,1.2,4087,4,8.16,50.9,1.02,4.08,2513,1175,642,399,248
45,ad_id_1522,ad_set_105,2.75,0.0,0.0,0.0,0.0,1.11,122,0,0.0,0.0,0.92,2.21,0,0,0,0,0
46,ad_id_1174,ad_set_052,26.44,0.0,0.0,0.0,0.0,1.26,923,0,0.0,0.0,0.83,2.74,0,0,0,0,0
47,ad_id_1171,ad_set_060,27.75,0.0,0.0,0.0,0.0,1.26,875,0,0.0,0.0,0.71,3.55,0,0,0,0,0
48,ad_id_1260,ad_set_094,9.38,0.0,53.99,32.95,17.79,1.11,147,0,0.0,0.0,0.94,6.13,88,32,23,16,16
49,ad_id_1485,ad_set_019,3.52,0.0,33.33,46.67,15.56,1.0,90,0,0.0,0.0,1.17,3.33,30,18,13,12,8
50,ad_id_266,ad_set_006,105.3,1.03,43.54,32.24,14.04,1.11,1828,2,9.82,52.65,1.55,3.34,887,331,220,152,94
